,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
NFE2L2,tfdimers__MD00007,0.13560166260176565,3.7572640530177224,6.58339e-07,1.0,motif similar to tfdimers__MD00238 ('M01250_forward_3_M00983_forward dimer: E2F1 / MAF'; q-value = 6.58e-07) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('KCNAB2', 1.86047910379342), ('ADGRL2', 2.2454902077620087), ('YAP1', 1.543630647080553), ('PPARG', 2.2811952469710484), ('LEPR', 1.6739432566848889), ('FMO5', 1.0937018996999246)]",462
RXRB,tfdimers__MD00004,0.1364520661454768,3.6641943171272287,9.39554e-06,1.0,motif similar to tfdimers__MD00121 ('M00160_forward_7_M00963_reverse dimer: SRY / T3R'; q-value = 9.4e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('PRDM16', 0.2700911640502025), ('MAFG', 1.9013152810175225), ('GATA4', 0.11507206245749359), ('SOX4', 1.4745031858799618), ('MYC', 0.045041557909080945), ('MFSD2A', 0.09392172399002241)]",545
TEAD4,metacluster_171.1,0.1373981071174572,3.3623167973160357,5.11564e-07,0.921659,gene is orthologous to ENSMUSG00000030353 in M. musculus (identity = 92%) which is annotated for similar motif hocomoco__TEAD4_MOUSE.H11MO.0.A ('TEAD4_MOUSE'; q-value = 5.12e-07),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('SMAD3', 0.25308955030278835), ('E2F3', 0.2752136899698613), ('HNF1A', 0.8384945684581719), ('TEAD4', 1.0), ('RASAL2', 0.06414152625544921), ('GATA6', 0.5352738189424661)]",977
FOXJ3,metacluster_134.3,0.1789055356263628,4.068165395826422,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('SMAD3', 1.2863933544492956), ('NR5A2', 1.742906295000693), ('EFNA1', 1.3873306673259351), ('ROR1', 1.9821739249773884), ('FOXA1', 1.2534314578939616), ('PPARA', 1.1939161449620836)]",703
GATA4,tfdimers__MD00454,0.16965604557923614,3.011607370486626,4.71419e-06,1.0,motif similar to tfdimers__MD00361 ('M00791_forward_10_M00789_forward dimer: HNF3 / GATA'; q-value = 4.71e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('GATA4', 1.0), ('TP73', 0.18530491136408755), ('MYC', 1.567105615063934), ('SPSB1', 2.5244994430349905), ('IGSF21', 2.809164360246454), ('RUNX3', 4.761333650252315), ('FOXA1', 2.5492885894537376)]",1218
HNF1B,metacluster_74.6,0.16877866749591852,3.623297745820573,1.43528e-06,1.0,motif similar to tfdimers__MD00328 ('M00790_forward_8_M00775_forward dimer: HNF1 / NF-Y'; q-value = 1.44e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('GATA6', 1.3551178165652138), ('PKN2-AS1', 3.0921263925961022), ('ATP1A1', 1.036531685688027), ('SLC44A3', 1.748302487325516), ('TMEM51', 2.6978776094190646)]",909
HNF1B,metacluster_74.21,0.1904687864417321,4.244983333816407,8.09761e-08,1.0,gene is annotated for similar motif hocomoco__HNF1B_HUMAN.H11MO.0.A ('HNF1B_HUMAN'; q-value = 8.1e-08),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('HNF1B', 1.0), ('RXRA', 1.997411413826097), ('KLF6', 0.8187301206713105), ('FHAD1', 3.22431576678205)]",534
HNF1B,tfdimers__MD00024,0.14790484334914095,3.0250089272654415,3.80223e-11,1.0,gene is annotated for similar motif tfdimers__MD00289 ('M00790_forward_7_M01410_reverse dimer: HNF1 / IRX4'; q-value = 3.8e-11),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('RXRA', 1.997411413826097), ('PKN2-AS1', 3.0921263925961022), ('ATP1A1', 1.036531685688027), ('SP3', 1.8804768813171255)]",485
JUN,tfdimers__MD00349,0.14866626118689721,3.1312519452471292,7.22726e-06,1.0,gene is annotated for similar motif tfdimers__MD00036 ('M00926_forward_6_M01281_reverse dimer: AP-1 / NFAT1'; q-value = 7.23e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('ATF3', 3.449489636584393), ('PDE4B', 2.213483967632916), ('FOXJ3', 1.8990158854785275), ('TXNIP', 7.3219359178212775), ('ROR1', 1.631125783358071)]",809
KLF6,metacluster_3.3,0.13296898079763664,3.0328512917055965,3.5033e-10,1.0,motif similar to hocomoco__KLF6_HUMAN.H11MO.0.A ('KLF6_HUMAN'; q-value = 3.5e-10) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('KLF6', 1.0), ('IFI44L', 2.2281597063906946), ('RIT1', 1.4584102820987714), ('ATP1A1', 1.3100489892761802), ('F3', 1.9695496715616034)]",642
KLF6,metacluster_3.5,0.13338257016248153,3.045712464957211,1.90177e-11,1.0,motif similar to jaspar__MA1517.1 ('KLF6'; q-value = 1.9e-11) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('SLC25A33', 1.5440146060716355), ('ADGRL2', 2.356341596618183), ('TEAD1', 0.8538759301280896), ('PTGFR', 2.0064943159592405), ('ATF3', 4.119807712509348), ('SUCO', 1.5761084040319253)]",1361
KLF6,transfac_pro__M07461,0.13657311669128508,3.1449272300410955,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('TEAD1', 0.8538759301280896), ('SLC25A33', 1.5440146060716355), ('PTGFR', 2.0064943159592405), ('ATF3', 4.119807712509348), ('SMAD2', 1.1697407937586708), ('RIT1', 1.4584102820987714)]",1108
FOXA2,tfdimers__MD00417,0.17289512555391434,4.265761179851503,6.96288e-06,1.0,gene is annotated for similar motif tfdimers__MD00011 ('M00791_forward_4_M01012_forward dimer: HNF3 / HNF3'; q-value = 6.96e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.044583330232817), ('SPSB1', 3.376133183542456), ('FOXA2', 1.0), ('SOX9', 1.9377626136986177), ('CEBPA', 0.7791116984378093)]",1059
FOXA2,tfdimers__MD00019,0.13220088626292467,3.010421537585545,6.49666e-06,1.0,gene is annotated for similar motif tfdimers__MD00011 ('M00791_forward_4_M01012_forward dimer: HNF3 / HNF3'; q-value = 6.5e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.044583330232817), ('SPSB1', 3.376133183542456), ('CEBPA', 0.7791116984378093), ('FOXA2', 1.0), ('SOX9', 1.9377626136986177)]",1114
FOXA2,tfdimers__MD00566,0.14420236336779912,3.3806442088527286,7.76869e-07,1.0,gene is annotated for similar motif tfdimers__MD00108 ('M01012_forward_9_M01012_reverse dimer: HNF3 / HNF3'; q-value = 7.77e-07),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.044583330232817), ('SPSB1', 3.376133183542456), ('SOX9', 1.9377626136986177), ('FOXA2', 1.0)]",671
FOXA2,tfdimers__MD00306,0.15520679468242246,3.720109919737715,7.3549e-07,1.0,gene is annotated for similar motif tfdimers__MD00011 ('M00791_forward_4_M01012_forward dimer: HNF3 / HNF3'; q-value = 7.35e-07),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.044583330232817), ('SPSB1', 3.376133183542456), ('FOXA2', 1.0)]",355
GATA4,tfdimers__MD00413,0.13740862780744612,3.0176909434917696,8.63633e-06,1.0,gene is annotated for similar motif tfdimers__MD00250 ('M00789_reverse_9_M00059_forward dimer: GATA / YY1'; q-value = 8.64e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('MAFG', 0.663069412205912), ('GATA4', 1.0), ('TP73', 0.18530491136408755), ('MYC', 1.567105615063934), ('SPSB1', 2.5244994430349905), ('IGSF21', 2.809164360246454), ('CEBPB', 1.0527892538130457), ('RUNX3', 4.761333650252315), ('RXRA', 1.4197459872403295), ('FOXA1', 2.5492885894537376)]",1218
GATA4,tfdimers__MD00454,0.148543726091732,3.3947279021746377,4.71419e-06,1.0,motif similar to tfdimers__MD00361 ('M00791_forward_10_M00789_forward dimer: HNF3 / GATA'; q-value = 4.71e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.0), ('TP73', 0.18530491136408755), ('MAFG', 0.663069412205912), ('RUNX3', 4.761333650252315), ('RXRA', 1.4197459872403295), ('SPSB1', 2.5244994430349905), ('KCNAB2', 1.3935597485615194), ('CEBPB', 1.0527892538130457), ('SOX9', 1.1872623536777993)]",962
GATA6,tfdimers__MD00509,0.12671449672926777,3.205567705028667,2.27271e-06,1.0,motif similar to tfdimers__MD00562 ('M00025_forward_24_M00789_forward dimer: Elk-1 / GATA'; q-value = 2.27e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('YAP1', 0.42080942494891954), ('TTLL7', 0.8976656742545183), ('E2F3', 1.48299136471218), ('SLC44A5', 0.359880780483365), ('CACHD1', 1.53186759636724), ('FOXA3', 5.122198989565831), ('AK5', 1.3322312850468225)]",1181
