TF	target	importance
TCF7L2	HSD17B7	2.73485731360471
TCF7L2	IFI44L	2.726158407309811
STAT3	NFIA-AS2	2.7231526768368854
CTNNB1	ZSWIM5	2.7218456984829964
FOXJ3	AL138799.4	2.714726950174105
RXRB	KIAA0040	2.7051919325880727
KLF6	MYOCOS	2.7016274496767823
HNF1B	TMEM51	2.6978776094190646
MAFG	IGSF21	2.6968589518535664
TEAD4	CEBPB	2.694967213239287
GATA4	SLAMF7	2.689466274196635
MAFG	VTCN1	2.6894221523642465
KLF6	SPAG17	2.683880666186757
CTNNB1	AK5	2.68025056661712
CTNNB1	CRP	2.6735554406987485
NFE2L2	CTH	2.671249915229701
SMAD3	AL591043.2	2.670153548230032
GADD45A	MAN1C1	2.6678581886289483
NFE2L2	AC104170.1	2.6575132234601333
SOX4	SGIP1	2.6515739877954547
PBX1	WLS	2.6480287520049632
HNF1A	KCNAB2	2.6464789639122266
SMAD2	AL034417.2	2.6444876339975174
HNF4A	FOXA3	2.6400610958557333
JUN	SCP2	2.6376981250188165
SOX4	TMEM51	2.631744282003189
NR1H4	PLA2G2A	2.6293376638129167
TCF7L2	HNF1A	2.628201559843478
MLXIPL	SPTA1	2.6260481693752755
NFE2L2	ATF3	2.622015624155043
ATF5	KCNAB2	2.6214228001982143
SMAD3	ATF5	2.616973663316599
HNF1B	HMGCS2	2.609004279727609
TCF7L2	PTGFR	2.60869071620769
RXRA	LINC01708	2.5884680122779757
NR1H4	SLC22A15	2.5815213425453396
NR1H4	HSD17B7	2.5806160075853133
NFE2L2	HNF4A	2.5753158955097883
STAT3	DNM3	2.5731441521692497
KLF6	WDR78	2.5729671940994616
CEBPB	KCNAB2	2.569605018771688
KLF6	S100A6	2.566150058357163
SOX9	FOXA2	2.5589223048138323
SMAD3	AL136234.1	2.5550683616449703
SP1	AJAP1	2.5536098894779844
MLXIPL	ATF5	2.5506748886320247
NR5A2	CTH	2.550073800902906
PPARA	SOX9	2.549666332894799
GATA4	FOXA1	2.5492885894537376
PRKAA2	TP53	2.5462723939630414
CEBPB	SELL	2.544069916151505
STAT3	ZYG11A	2.5373927783157733
FOXJ3	GBP2	2.531450603944146
